shortcode,kind,url,status,attempts,post_like_count,repost_count,captured_comments,displayed_comment_count,target_comment_count,target_comment_source,capture_rate_estimate,unique_commenters,total_comment_likes,mean_comment_likes,median_comment_likes,mean_text_length,median_text_length,posted_at,stop_reason,exhaustion_reason,effective_concurrency,worker_id,active_hydrated_at,active_hydrate_ms,hydrate_visibility_state,hydrate_comments_found,hydrate_target_comment_count,active_scrape_started_at,active_scrape_finished_at,active_scroll_rounds,active_visibility_states,background_scroll_visibility_states,caption_preview
DYsm8CwkfTu,p,https://www.instagram.com/thedogist/p/DYsm8CwkfTu/,partial,1,71000,,566,613,613,og_description,0.9233,560,4153,7.34,0,35.04,16,2026-05-23T21:55:01.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-09,2026-06-20T00:12:19.767Z,11511,visible,16,613,2026-06-20T00:12:19.768Z,2026-06-20T00:18:00.025Z,159,visible,visible,"Olive, Pug/Pit Bull mix (12 y/o), 80th & Amsterdam Ave., New York, NY “She’s blind. You have to make sounds. She’s very resourceful. She can hear absolutely eve"
DYp4B3jgwSn,reel,https://www.instagram.com/shortyawards/reel/DYp4B3jgwSn/,partial,1,12000,55,159,166,166,og_description,0.9578,158,652,4.1,0,30.84,23,2026-05-22T20:29:44.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-10,2026-06-20T00:18:04.325Z,4285,visible,16,166,2026-06-20T00:18:04.326Z,2026-06-20T00:19:49.261Z,50,visible,visible,"Congratulations to @thedogist Elias Weiss Friedman, who was named Photography Creator of the Year at the 18th #ShortyAwards!Through unforgettable portraits and "
DYptuk8GtGy,p,https://www.instagram.com/thedogist/p/DYptuk8GtGy/,partial,1,157000,781,15,541,541,og_description,0.0277,15,893,59.53,23,121.13,68,2026-05-22T18:59:19.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-11,2026-06-20T00:20:00.793Z,11516,visible,15,541,2026-06-20T00:20:00.794Z,2026-06-20T00:20:37.466Z,17,visible,visible,"thedogistVerified Edited•4wBenny & Stephen Colbert, Boykin Spaniel (& a very funny human) • A few of my favorite photos from my photoshoot with Benny & Stephen "
DYpHHiuR3kU,reel,https://www.instagram.com/thedogist/reel/DYpHHiuR3kU/,complete,1,0,,59,,,,,59,245,4.15,1,172.36,65,2026-05-22T13:20:21.000Z,comments_exhausted_no_new_rounds,unknown_target_exhausted_min_50,20,worker-12,2026-06-20T00:20:48.984Z,11502,visible,16,,2026-06-20T00:20:48.985Z,2026-06-20T00:22:00.396Z,33,visible,visible,How has your dog changed your life?
DYnazeqxZh5,reel,https://www.instagram.com/thedogist/reel/DYnazeqxZh5/,partial,1,107000,,249,586,586,og_description,0.4249,213,13139,52.77,1,34.1,25,2026-05-21T22:14:18.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-13,2026-06-20T00:22:11.915Z,11499,visible,16,586,2026-06-20T00:22:11.916Z,2026-06-20T00:26:23.919Z,86,visible,visible,"thedogistVerified Edited•4wMorty, Spaniel Mix (7 y/o), Hudson & Perry St., New York, NY • “He’s a mixture of a Cocker Spaniel, Shih Tzu, Pittie and some other t"
DYkzuZIRHFE,reel,https://www.instagram.com/thedogist/reel/DYkzuZIRHFE/,partial,1,23000,,287,321,321,og_description,0.8941,270,1640,5.71,1,49.25,29,2026-05-20T21:12:57.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-14,2026-06-20T00:26:33.052Z,9114,visible,16,321,2026-06-20T00:26:33.053Z,2026-06-20T00:30:30.629Z,96,visible,visible,"Lando was recently found 20lbs underweight and tied to a pole at a bus stop in Brooklyn. Thanks to @animalrescueconsortium , Tony and his team were able to resc"
DYkDVQKN3Za,reel,https://www.instagram.com/nycacc/reel/DYkDVQKN3Za/,partial,1,9409,103,34,36,36,og_description,0.9444,34,97,2.85,1,50.47,26,2026-05-20T14:11:26.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-15,2026-06-20T00:30:33.706Z,3062,visible,15,36,2026-06-20T00:30:33.707Z,2026-06-20T00:31:04.248Z,14,visible,visible,"nycaccVerified Edited•4wHappy National Rescue Dog Day. We were very excited to have a few of our Boroughbreds photographed by The Dogist (@thedogist), whose pho"
DYiXD3WEcwm,p,https://www.instagram.com/thedogist/p/DYiXD3WEcwm/,partial,1,35000,225,119,121,121,og_description,0.9835,113,381,3.2,1,31.77,23,2026-05-19T22:23:53.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-16,2026-06-20T00:31:07.357Z,3088,visible,16,121,2026-06-20T00:31:07.358Z,2026-06-20T00:32:33.226Z,40,visible,visible,"ADOPTABLE! Tomorrow is National Rescue Dog Day, and shelters around the world are filled with incredible dogs waiting to find their families. Helping dogs in sh"
DYh1XcIxexg,reel,https://www.instagram.com/thedogist/reel/DYh1XcIxexg/,partial,1,39000,,149,181,181,og_description,0.8232,144,1313,8.81,1,33.73,23,2026-05-19T17:29:40.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-17,2026-06-20T00:32:39.937Z,6693,visible,16,181,2026-06-20T00:32:39.938Z,2026-06-20T00:34:43.478Z,52,visible,visible,"Maple, Dachshund, Central Park, New York, NY • “She just moved to New York from London. She has nearly 2k Instagram followers.” @maple.the.minisausage"
DYfseNWRJdY,reel,https://www.instagram.com/thedogist/reel/DYfseNWRJdY/,partial,1,16000,,192,208,208,og_description,0.9231,184,369,1.92,1,44.39,28,2026-05-18T21:33:32.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-18,2026-06-20T00:34:50.175Z,6678,visible,16,208,2026-06-20T00:34:50.175Z,2026-06-20T00:36:57.391Z,58,visible,visible,"Yesterday, about 1,000 people and their dogs walked through Central Park together for the first Dogist meetup in years. Since creating The Dogist almost 14 year"
DYdbhzSEdAy,p,https://www.instagram.com/thedogist/p/DYdbhzSEdAy/,partial,1,46000,,55,772,772,og_description,0.0712,46,1218,22.15,8,56.35,38,2026-05-18T00:26:43.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-19,2026-06-20T00:37:05.338Z,7927,visible,16,772,2026-06-20T00:37:05.339Z,2026-06-20T00:38:22.042Z,29,visible,visible,"First Dogist Walk is in the books! I think we had ruffly 1,000 dogs today! I’m blown away by this community’s support and love of dogs. I can’t say I’m surprise"
DYZoGV5xc-7,reel,https://www.instagram.com/thedogist/reel/DYZoGV5xc-7/,partial,1,8952,,100,120,120,og_description,0.8333,97,234,2.34,1,50.05,40,2026-05-16T13:01:18.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-20,2026-06-20T00:38:31.205Z,9146,visible,16,120,2026-06-20T00:38:31.205Z,2026-06-20T00:39:55.344Z,35,visible,visible,"The Dogist Walk is TOMORROW (May 17) at 1 PM in Central Park! Everyone’s welcome - bring your pup if you have one, or just come by yourself. Looking forward to "
DYYFuOQR_XO,reel,https://www.instagram.com/thedogist/reel/DYYFuOQR_XO/,partial,1,63000,,57,366,366,og_description,0.1557,46,13712,240.56,22,63.26,51,2026-05-15T22:40:11.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-01,2026-06-20T00:40:08.875Z,7870,visible,16,366,2026-06-20T00:40:08.876Z,2026-06-20T00:41:25.379Z,26,visible,visible,"Mandoo, Shar Pei/Pug/Beagle mix, 17th & Irving Place, New York, NY • “Everyone says I have to find you because I have such a unique dog. Mandoo means dumpling i"
DYVizzrRutU,reel,https://www.instagram.com/thedogist/reel/DYVizzrRutU/,partial,1,8279,,56,61,61,og_description,0.918,56,210,3.75,3.5,48.38,41,2026-05-14T22:58:13.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-02,2026-06-20T00:41:30.886Z,5488,visible,16,61,2026-06-20T00:41:30.887Z,2026-06-20T00:42:18.841Z,22,visible,visible,I rode my bike to Japan Village in Brooklyn to pick up ingredients for sushi night! Sam and I both love sushi night and I wanted to include Elsa this time. Salm
DYS0AD8xUHT,reel,https://www.instagram.com/thedogist/reel/DYS0AD8xUHT/,partial,1,65000,,353,378,378,og_description,0.9339,344,9975,28.26,2,44.59,28,2026-05-13T21:29:43.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-03,2026-06-20T00:42:26.744Z,7885,visible,16,378,2026-06-20T00:42:26.745Z,2026-06-20T00:46:22.567Z,108,visible,visible,"Mikey & Havana, Wire-haired Dachshunds (8 & 14 y/o), Central Park, New York, NY • “They’re just great companions. When I come home at night, I say ‘I’m home’, a"
