position,shortcode,kind,url,canonical_url,discovered_at,discovery_round,visible_index
86,DWjlIjyx_JO,reel,https://www.instagram.com/thedogist/reel/DWjlIjyx_JO/,https://www.instagram.com/reel/DWjlIjyx_JO/,2026-06-19T22:17:16.777Z,6,62
87,DWgjdtbBdWh,reel,https://www.instagram.com/thedogist/reel/DWgjdtbBdWh/,https://www.instagram.com/reel/DWgjdtbBdWh/,2026-06-19T22:17:16.777Z,6,63
88,DWfXxOnEQrZ,p,https://www.instagram.com/thedogist/p/DWfXxOnEQrZ/,https://www.instagram.com/p/DWfXxOnEQrZ/,2026-06-19T22:17:16.778Z,6,64
89,DWcBZpAxjgc,reel,https://www.instagram.com/thedogist/reel/DWcBZpAxjgc/,https://www.instagram.com/reel/DWcBZpAxjgc/,2026-06-19T22:17:16.778Z,6,65
90,DWY1oOJhTNM,reel,https://www.instagram.com/thedogist/reel/DWY1oOJhTNM/,https://www.instagram.com/reel/DWY1oOJhTNM/,2026-06-19T22:17:16.778Z,6,66
91,DWWVCdhR5p-,reel,https://www.instagram.com/thedogist/reel/DWWVCdhR5p-/,https://www.instagram.com/reel/DWWVCdhR5p-/,2026-06-19T22:17:16.778Z,6,67
92,DWTsLwyxMya,reel,https://www.instagram.com/thedogist/reel/DWTsLwyxMya/,https://www.instagram.com/reel/DWTsLwyxMya/,2026-06-19T22:17:16.778Z,6,68
93,DWSAT71xd0u,reel,https://www.instagram.com/thedogist/reel/DWSAT71xd0u/,https://www.instagram.com/reel/DWSAT71xd0u/,2026-06-19T22:17:16.778Z,6,69
94,DWRHAqrEW4f,p,https://www.instagram.com/thedogist/p/DWRHAqrEW4f/,https://www.instagram.com/p/DWRHAqrEW4f/,2026-06-19T22:17:16.778Z,6,70
95,DWPcc1QkWcE,p,https://www.instagram.com/thedogist/p/DWPcc1QkWcE/,https://www.instagram.com/p/DWPcc1QkWcE/,2026-06-19T22:17:16.778Z,6,71
96,DWOt11jR30C,reel,https://www.instagram.com/thedogist/reel/DWOt11jR30C/,https://www.instagram.com/reel/DWOt11jR30C/,2026-06-19T22:17:16.779Z,6,72
97,DWNPb-LEQhe,p,https://www.instagram.com/thedogist/p/DWNPb-LEQhe/,https://www.instagram.com/p/DWNPb-LEQhe/,2026-06-19T22:17:18.385Z,7,58
98,DWJpicKBfLP,reel,https://www.instagram.com/thedogist/reel/DWJpicKBfLP/,https://www.instagram.com/reel/DWJpicKBfLP/,2026-06-19T22:17:18.387Z,7,59
